#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
2.9%,10000,20.0,-40629.698,7829.048,-32800.65,306.966,30.547,1.001,0,--
5.7%,20000,40.0,-40567.571,7544.943,-33022.628,295.827,31.343,0.975,1.38e+03,0:41
8.6%,30000,60.0,-40753.908,7703.797,-33050.111,302.055,31.367,0.975,1.39e+03,0:39
11.4%,40000,80.0,-40746.506,7453.232,-33293.273,292.231,31.293,0.977,1.39e+03,0:38
14.3%,50000,100.0,-40411.767,7725.792,-32685.975,302.917,31.237,0.979,1.39e+03,0:37
17.1%,60000,120.0,-40842.811,7645.224,-33197.587,299.758,31.108,0.983,1.39e+03,0:35
20.0%,70000,140.0,-40813.458,7837.552,-32975.906,307.299,31.018,0.986,1.4e+03,0:34
22.9%,80000,160.0,-40555.106,7588.231,-32966.875,297.524,30.885,0.99,1.4e+03,0:33
25.7%,90000,180.0,-40488.238,7489.8,-32998.437,293.665,31.386,0.974,1.4e+03,0:32
28.6%,100000,200.0,-40746.302,7741.892,-33004.41,303.549,31.354,0.975,1.4e+03,0:30
31.4%,110000,220.0,-40548.308,8001.187,-32547.121,313.715,30.999,0.986,1.4e+03,0:29
34.3%,120000,240.0,-40737.231,7815.511,-32921.72,306.435,30.71,0.996,1.4e+03,0:28
37.1%,130000,260.0,-40707.9,7558.072,-33149.828,296.341,30.744,0.994,1.4e+03,0:27
40.0%,140000,280.0,-40792.288,7700.766,-33091.522,301.936,30.949,0.988,1.4e+03,0:25
42.9%,150000,300.0,-40889.658,7674.178,-33215.48,300.894,30.613,0.999,1.4e+03,0:24
45.7%,160000,320.0,-40969.226,7697.497,-33271.729,301.808,30.842,0.991,1.4e+03,0:23
48.6%,170000,340.0,-40743.055,7485.92,-33257.135,293.512,31.099,0.983,1.4e+03,0:22
51.4%,180000,360.0,-40917.418,7863.284,-33054.134,308.308,30.887,0.99,1.4e+03,0:21
54.3%,190000,380.0,-40865.653,7596.93,-33268.723,297.865,31.006,0.986,1.4e+03,0:19
57.1%,200000,400.0,-41001.87,7687.53,-33314.34,301.417,30.856,0.991,1.4e+03,0:18
60.0%,210000,420.0,-40304.987,7645.449,-32659.538,299.767,31.518,0.97,1.4e+03,0:17
62.9%,220000,440.0,-40514.148,7620.589,-32893.559,298.793,31.165,0.981,1.4e+03,0:16
65.7%,230000,460.0,-41045.398,7677.596,-33367.803,301.028,30.628,0.998,1.4e+03,0:14
68.6%,240000,480.0,-40779.661,7663.073,-33116.588,300.458,30.831,0.992,1.4e+03,0:13
71.4%,250000,500.0,-40785.303,7740.868,-33044.434,303.509,30.862,0.991,1.4e+03,0:12
74.3%,260000,520.0,-40762.463,7601.616,-33160.847,298.049,30.393,1.006,1.4e+03,0:11
77.1%,270000,540.0,-40728.133,7728.236,-32999.897,303.013,31.024,0.986,1.4e+03,0:09
80.0%,280000,560.0,-40476.371,7685.625,-32790.745,301.343,31.3,0.977,1.4e+03,0:08
82.9%,290000,580.0,-40410.522,7707.577,-32702.945,302.203,31.15,0.982,1.4e+03,0:07
85.7%,300000,600.0,-40778.818,7563.139,-33215.679,296.54,31.08,0.984,1.4e+03,0:06
88.6%,310000,620.0,-40843.465,7669.676,-33173.789,300.717,31.235,0.979,1.4e+03,0:04
91.4%,320000,640.0,-40758.853,7707.125,-33051.728,302.186,31.158,0.981,1.39e+03,0:03
94.3%,330000,660.0,-40456.093,7922.186,-32533.906,310.618,30.758,0.994,1.39e+03,0:02
97.1%,340000,680.0,-40734.964,7485.811,-33249.153,293.508,31.381,0.974,1.39e+03,0:01
100.0%,350000,700.0,-40802.942,7574.148,-33228.794,296.972,30.656,0.997,1.4e+03,0:00
