#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
21.0%,105000,210.0,-40936.414,7954.421,-32981.993,311.882,31.462,0.972,0,--
22.0%,110000,220.0,-40954.113,7690.118,-33263.996,301.519,31.356,0.975,1.4e+03,0:47
23.0%,115000,230.0,-40538.713,7767.235,-32771.478,304.542,31.365,0.975,1.4e+03,0:47
24.0%,120000,240.0,-40683.579,7666.252,-33017.327,300.583,30.466,1.004,1.4e+03,0:46
25.0%,125000,250.0,-40999.102,7486.116,-33512.986,293.52,30.501,1.002,1.4e+03,0:46
26.0%,130000,260.0,-40433.586,7721.452,-32712.134,302.747,31.088,0.983,1.4e+03,0:45
27.0%,135000,270.0,-40535.037,7701.902,-32833.135,301.981,30.672,0.997,1.4e+03,0:45
28.0%,140000,280.0,-40930.054,7615.529,-33314.525,298.594,30.805,0.993,1.4e+03,0:44
29.0%,145000,290.0,-40270.846,7542.118,-32728.728,295.716,31.426,0.973,1.4e+03,0:43
30.0%,150000,300.0,-40727.682,7620.405,-33107.277,298.785,31.11,0.983,1.4e+03,0:43
31.0%,155000,310.0,-40732.656,7597.602,-33135.054,297.891,31.065,0.984,1.4e+03,0:42
32.0%,160000,320.0,-40668.558,8015.933,-32652.625,314.293,31.299,0.977,1.4e+03,0:41
33.0%,165000,330.0,-40834.5,7564.549,-33269.951,296.595,31.077,0.984,1.4e+03,0:41
34.0%,170000,340.0,-40401.909,7307.319,-33094.59,286.51,31.08,0.984,1.4e+03,0:40
35.0%,175000,350.0,-40927.433,7720.09,-33207.342,302.694,31.256,0.978,1.4e+03,0:40
36.0%,180000,360.0,-40924.497,7646.697,-33277.8,299.816,31.084,0.984,1.4e+03,0:39
37.0%,185000,370.0,-40359.841,7582.044,-32777.798,297.281,31.648,0.966,1.4e+03,0:38
38.0%,190000,380.0,-40645.073,7555.73,-33089.343,296.25,31.035,0.985,1.4e+03,0:38
39.0%,195000,390.0,-40565.814,7523.945,-33041.869,295.003,30.857,0.991,1.4e+03,0:37
40.0%,200000,400.0,-40741.796,7484.462,-33257.334,293.455,31.31,0.977,1.4e+03,0:36
41.0%,205000,410.0,-40913.391,7523.811,-33389.58,294.998,30.904,0.989,1.4e+03,0:36
42.0%,210000,420.0,-41013.195,7286.283,-33726.912,285.685,31.372,0.975,1.4e+03,0:35
43.0%,215000,430.0,-40690.685,7675.198,-33015.487,300.934,30.777,0.993,1.4e+03,0:35
44.0%,220000,440.0,-40687.076,7853.82,-32833.256,307.937,30.809,0.992,1.4e+03,0:34
45.0%,225000,450.0,-40627.875,7202.105,-33425.769,282.384,31.005,0.986,1.4e+03,0:33
46.0%,230000,460.0,-40690.96,7806.863,-32884.097,306.096,31.051,0.985,1.4e+03,0:33
47.0%,235000,470.0,-40782.131,7831.604,-32950.527,307.066,31.101,0.983,1.4e+03,0:32
48.0%,240000,480.0,-40620.299,7742.47,-32877.829,303.571,30.847,0.991,1.4e+03,0:32
