#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
2.9%,10000,20.0,-40716.093,7612.84,-33103.253,298.489,31.041,0.985,0,--
5.7%,20000,40.0,-40436.35,7598.716,-32837.633,297.935,31.438,0.973,1.39e+03,0:40
8.6%,30000,60.0,-40337.188,7880.825,-32456.364,308.996,31.335,0.976,1.39e+03,0:39
11.4%,40000,80.0,-40845.128,7563.336,-33281.792,296.548,31.316,0.976,1.4e+03,0:38
14.3%,50000,100.0,-40792.673,7655.777,-33136.897,300.172,30.971,0.987,1.39e+03,0:37
17.1%,60000,120.0,-40707.896,7491.754,-33216.142,293.741,31.268,0.978,1.39e+03,0:35
20.0%,70000,140.0,-40787.951,7587.542,-33200.41,297.497,30.997,0.986,1.39e+03,0:34
22.9%,80000,160.0,-40543.279,7899.954,-32643.325,309.746,31.536,0.97,1.39e+03,0:33
25.7%,90000,180.0,-40785.534,7610.348,-33175.187,298.391,31.192,0.98,1.39e+03,0:32
28.6%,100000,200.0,-40947.534,7708.767,-33238.767,302.25,31.114,0.983,1.39e+03,0:30
31.4%,110000,220.0,-40980.507,7845.395,-33135.112,307.607,30.898,0.99,1.39e+03,0:29
34.3%,120000,240.0,-40566.66,7753.968,-32812.692,304.022,31.199,0.98,1.4e+03,0:28
37.1%,130000,260.0,-40686.916,7472.714,-33214.202,292.995,31.136,0.982,1.39e+03,0:27
40.0%,140000,280.0,-40858.085,7550.563,-33307.522,296.047,30.904,0.989,1.39e+03,0:26
42.9%,150000,300.0,-40875.751,7699.077,-33176.674,301.87,31.151,0.981,1.4e+03,0:24
45.7%,160000,320.0,-40720.506,7679.724,-33040.782,301.111,30.979,0.987,1.39e+03,0:23
48.6%,170000,340.0,-40540.075,7540.205,-32999.87,295.641,31.284,0.977,1.4e+03,0:22
51.4%,180000,360.0,-40815.3,7566.175,-33249.125,296.659,30.948,0.988,1.39e+03,0:21
54.3%,190000,380.0,-40618.837,7669.031,-32949.805,300.692,30.947,0.988,1.4e+03,0:19
57.1%,200000,400.0,-41073.862,7754.886,-33318.976,304.058,30.742,0.995,1.39e+03,0:18
60.0%,210000,420.0,-40898.392,7459.11,-33439.283,292.461,30.847,0.991,1.39e+03,0:17
62.9%,220000,440.0,-40857.432,7626.826,-33230.606,299.037,30.431,1.005,1.39e+03,0:16
65.7%,230000,460.0,-40558.109,7411.968,-33146.141,290.613,31.261,0.978,1.4e+03,0:14
68.6%,240000,480.0,-40871.825,7613.313,-33258.511,298.507,31.097,0.983,1.4e+03,0:13
71.4%,250000,500.0,-40989.845,7602.404,-33387.441,298.08,30.992,0.987,1.4e+03,0:12
74.3%,260000,520.0,-40758.684,7849.055,-32909.629,307.75,30.965,0.987,1.39e+03,0:11
77.1%,270000,540.0,-40966.914,7825.657,-33141.257,306.833,30.527,1.002,1.39e+03,0:09
80.0%,280000,560.0,-40545.443,7934.841,-32610.603,311.114,30.529,1.001,1.39e+03,0:08
82.9%,290000,580.0,-40628.296,7708.098,-32920.198,302.224,31.359,0.975,1.39e+03,0:07
85.7%,300000,600.0,-40706.71,7686.201,-33020.509,301.365,31.235,0.979,1.39e+03,0:06
88.6%,310000,620.0,-40663.986,7720.674,-32943.313,302.717,30.735,0.995,1.39e+03,0:04
91.4%,320000,640.0,-40535.713,7716.263,-32819.45,302.544,30.446,1.004,1.39e+03,0:03
94.3%,330000,660.0,-40769.334,7830.446,-32938.887,307.021,31.419,0.973,1.39e+03,0:02
97.1%,340000,680.0,-40847.096,7886.357,-32960.74,309.213,31.119,0.983,1.39e+03,0:01
100.0%,350000,700.0,-40772.521,7660.161,-33112.36,300.344,30.791,0.993,1.39e+03,0:00
