#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
2.0%,10000,20.0,-51316.626,501.772,-50814.854,19.674,29.87,1.024,0,--
4.0%,20000,40.0,-50922.636,1024.194,-49898.442,40.157,29.913,1.022,1.71e+03,0:48
6.0%,30000,60.0,-50633.065,1592.815,-49040.25,62.452,30.054,1.017,1.68e+03,0:48
8.0%,40000,80.0,-50300.109,2027.258,-48272.851,79.486,30.081,1.016,1.66e+03,0:47
10.0%,50000,100.0,-49971.014,2593.563,-47377.452,101.69,30.334,1.008,1.63e+03,0:47
12.0%,60000,120.0,-49704.269,2810.238,-46894.031,110.185,30.237,1.011,1.61e+03,0:47
14.0%,70000,140.0,-49571.542,3029.033,-46542.509,118.764,30.265,1.01,1.6e+03,0:46
16.0%,80000,160.0,-49310.606,3363.252,-45947.354,131.868,30.566,1.0,1.59e+03,0:45
18.0%,90000,180.0,-49083.053,3529.485,-45553.568,138.386,30.685,0.996,1.58e+03,0:44
20.0%,100000,200.0,-48876.068,3863.262,-45012.805,151.473,30.813,0.992,1.57e+03,0:44
22.0%,110000,220.0,-48530.99,4061.222,-44469.768,159.235,30.458,1.004,1.56e+03,0:43
24.0%,120000,240.0,-48097.098,4249.718,-43847.38,166.625,30.793,0.993,1.55e+03,0:42
26.0%,130000,260.0,-47768.968,4476.919,-43292.049,175.534,30.547,1.001,1.54e+03,0:41
28.0%,140000,280.0,-47307.063,4873.975,-42433.088,191.102,30.511,1.002,1.54e+03,0:40
30.0%,150000,300.0,-46799.862,5105.788,-41694.073,200.191,30.411,1.005,1.53e+03,0:39
32.0%,160000,320.0,-46250.785,5489.389,-40761.396,215.231,30.299,1.009,1.53e+03,0:38
34.0%,170000,340.0,-45297.359,5866.807,-39430.552,230.029,29.796,1.026,1.52e+03,0:37
36.0%,180000,360.0,-44635.454,5557.978,-39077.476,217.92,30.044,1.018,1.52e+03,0:36
38.0%,190000,380.0,-44085.051,6188.194,-37896.857,242.63,29.95,1.021,1.51e+03,0:35
40.0%,200000,400.0,-43581.572,6319.047,-37262.525,247.761,30.085,1.016,1.51e+03,0:34
42.0%,210000,420.0,-43387.297,6683.179,-36704.118,262.038,30.683,0.996,1.5e+03,0:33
44.0%,220000,440.0,-42402.273,6750.129,-35652.144,264.663,30.794,0.993,1.5e+03,0:32
46.0%,230000,460.0,-41680.483,6888.697,-34791.786,270.096,30.666,0.997,1.49e+03,0:31
48.0%,240000,480.0,-41460.708,7446.419,-34014.289,291.964,31.312,0.976,1.49e+03,0:30
50.0%,250000,500.0,-41130.836,7595.442,-33535.394,297.807,30.836,0.992,1.49e+03,0:29
52.0%,260000,520.0,-41023.113,7682.169,-33340.944,301.207,30.829,0.992,1.48e+03,0:27
54.0%,270000,540.0,-40628.97,7486.129,-33142.841,293.521,30.657,0.997,1.48e+03,0:26
56.0%,280000,560.0,-40406.679,7726.363,-32680.316,302.94,31.378,0.974,1.48e+03,0:25
58.0%,290000,580.0,-40563.859,7660.473,-32903.386,300.356,31.002,0.986,1.47e+03,0:24
60.0%,300000,600.0,-40479.071,7725.337,-32753.734,302.9,30.89,0.99,1.47e+03,0:23
62.0%,310000,620.0,-40816.555,7469.574,-33346.982,292.871,31.015,0.986,1.47e+03,0:22
64.0%,320000,640.0,-40802.642,7471.428,-33331.214,292.944,31.193,0.98,1.47e+03,0:21
66.0%,330000,660.0,-40430.725,7847.963,-32582.762,307.708,31.249,0.978,1.46e+03,0:20
68.0%,340000,680.0,-40435.292,7542.682,-32892.61,295.738,31.193,0.98,1.46e+03,0:18
70.0%,350000,700.0,-40839.142,7573.424,-33265.718,296.943,31.134,0.982,1.46e+03,0:17
72.0%,360000,720.0,-40798.684,7501.664,-33297.02,294.13,31.3,0.977,1.46e+03,0:16
74.0%,370000,740.0,-40735.849,7654.577,-33081.272,300.125,30.783,0.993,1.46e+03,0:15
76.0%,380000,760.0,-40890.136,7692.617,-33197.519,301.617,31.025,0.985,1.45e+03,0:14
78.0%,390000,780.0,-41171.641,7625.307,-33546.334,298.978,30.957,0.988,1.45e+03,0:13
80.0%,400000,800.0,-40768.197,7648.511,-33119.686,299.887,30.785,0.993,1.45e+03,0:11
82.0%,410000,820.0,-40518.018,7761.571,-32756.446,304.32,30.794,0.993,1.45e+03,0:10
84.0%,420000,840.0,-40591.077,7761.344,-32829.733,304.311,31.538,0.969,1.45e+03,0:09
86.0%,430000,860.0,-40419.945,7833.21,-32586.735,307.129,31.122,0.982,1.45e+03,0:08
88.0%,440000,880.0,-40954.115,7607.279,-33346.836,298.271,30.447,1.004,1.45e+03,0:07
90.0%,450000,900.0,-40259.181,7879.798,-32379.383,308.956,31.208,0.98,1.45e+03,0:05
92.0%,460000,920.0,-40862.913,7905.621,-32957.292,309.968,30.682,0.997,1.44e+03,0:04
94.0%,470000,940.0,-41023.973,7717.17,-33306.803,302.579,30.75,0.994,1.44e+03,0:03
96.0%,480000,960.0,-40709.05,7611.972,-33097.078,298.455,31.138,0.982,1.44e+03,0:02
98.0%,490000,980.0,-40393.773,7859.367,-32534.405,308.155,31.502,0.971,1.44e+03,0:01
100.0%,500000,1000.0,-41113.056,7711.444,-33401.613,302.355,30.77,0.994,1.44e+03,0:00
