#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
1.0%,5000,10.0,-40418.924,7400.869,-33018.055,290.178,31.011,0.986,0,--
2.0%,10000,20.0,-40591.351,7784.227,-32807.125,305.209,30.911,0.989,1.4e+03,1:00
3.0%,15000,30.0,-40738.392,7600.417,-33137.975,298.002,31.132,0.982,1.4e+03,0:59
4.0%,20000,40.0,-40495.553,7799.843,-32695.71,305.821,31.106,0.983,1.4e+03,0:59
5.0%,25000,50.0,-41106.152,7598.997,-33507.155,297.946,30.434,1.005,1.4e+03,0:58
6.0%,30000,60.0,-40625.092,7637.374,-32987.718,299.451,31.261,0.978,1.4e+03,0:58
7.0%,35000,70.0,-41120.765,7570.89,-33549.876,296.844,30.617,0.999,1.4e+03,0:57
8.0%,40000,80.0,-40952.243,7548.557,-33403.686,295.968,30.598,0.999,1.4e+03,0:56
9.0%,45000,90.0,-41037.066,7455.982,-33581.084,292.339,30.763,0.994,1.4e+03,0:56
10.0%,50000,100.0,-40770.35,7717.546,-33052.804,302.594,31.225,0.979,1.4e+03,0:55
11.0%,55000,110.0,-40613.022,7748.687,-32864.335,303.815,31.42,0.973,1.4e+03,0:54
12.0%,60000,120.0,-40702.728,7696.25,-33006.478,301.759,30.742,0.995,1.4e+03,0:54
13.0%,65000,130.0,-40789.1,7800.043,-32989.057,305.829,31.105,0.983,1.4e+03,0:53
14.0%,70000,140.0,-40617.257,7696.348,-32920.91,301.763,30.909,0.989,1.41e+03,0:52
15.0%,75000,150.0,-41241.958,7937.045,-33304.913,311.2,30.978,0.987,1.41e+03,0:52
16.0%,80000,160.0,-40452.42,7808.764,-32643.657,306.171,31.169,0.981,1.41e+03,0:51
17.0%,85000,170.0,-40669.298,7772.065,-32897.233,304.732,31.251,0.978,1.41e+03,0:50
18.0%,90000,180.0,-40942.008,7511.633,-33430.375,294.521,31.158,0.981,1.41e+03,0:50
19.0%,95000,190.0,-40555.956,7681.298,-32874.658,301.173,31.067,0.984,1.41e+03,0:49
20.0%,100000,200.0,-40643.701,7653.802,-32989.899,300.095,31.029,0.985,1.41e+03,0:49
21.0%,105000,210.0,-40873.708,7662.726,-33210.982,300.445,30.955,0.988,1.41e+03,0:48
22.0%,110000,220.0,-41087.022,7638.088,-33448.934,299.479,30.98,0.987,1.41e+03,0:47
23.0%,115000,230.0,-40638.128,7697.474,-32940.654,301.807,31.026,0.985,1.41e+03,0:47
24.0%,120000,240.0,-40909.157,7694.946,-33214.211,301.708,30.975,0.987,1.41e+03,0:46
25.0%,125000,250.0,-40901.064,7880.641,-33020.423,308.989,30.942,0.988,1.41e+03,0:46
26.0%,130000,260.0,-40590.384,7737.79,-32852.595,303.388,31.484,0.971,1.41e+03,0:45
27.0%,135000,270.0,-41045.399,7639.638,-33405.762,299.539,30.866,0.991,1.41e+03,0:44
28.0%,140000,280.0,-40481.64,7629.75,-32851.889,299.152,31.609,0.967,1.41e+03,0:44
29.0%,145000,290.0,-40833.752,7676.84,-33156.912,300.998,30.981,0.987,1.4e+03,0:43
30.0%,150000,300.0,-40522.537,7730.572,-32791.965,303.105,30.915,0.989,1.4e+03,0:43
31.0%,155000,310.0,-40853.521,7656.859,-33196.662,300.215,31.085,0.984,1.4e+03,0:42
32.0%,160000,320.0,-40820.281,7856.423,-32963.858,308.039,31.465,0.972,1.4e+03,0:41
33.0%,165000,330.0,-40861.164,7635.182,-33225.982,299.365,31.073,0.984,1.4e+03,0:41
34.0%,170000,340.0,-40623.269,7587.642,-33035.627,297.501,30.673,0.997,1.4e+03,0:40
35.0%,175000,350.0,-40733.128,7684.781,-33048.347,301.309,30.9,0.989,1.4e+03,0:39
36.0%,180000,360.0,-40597.535,7571.663,-33025.872,296.874,31.617,0.967,1.4e+03,0:39
37.0%,185000,370.0,-40971.039,7827.739,-33143.3,306.915,31.367,0.975,1.4e+03,0:38
38.0%,190000,380.0,-40746.316,7484.362,-33261.954,293.451,30.991,0.987,1.4e+03,0:38
39.0%,195000,390.0,-40960.172,7518.526,-33441.646,294.791,30.933,0.988,1.4e+03,0:37
40.0%,200000,400.0,-40588.555,7759.079,-32829.477,304.223,30.904,0.989,1.4e+03,0:36
41.0%,205000,410.0,-40150.71,7462.188,-32688.522,292.582,31.267,0.978,1.4e+03,0:36
42.0%,210000,420.0,-40684.16,7760.236,-32923.923,304.268,30.856,0.991,1.4e+03,0:35
43.0%,215000,430.0,-40984.882,7910.174,-33074.708,310.147,30.783,0.993,1.4e+03,0:35
44.0%,220000,440.0,-40493.604,7742.25,-32751.353,303.563,30.917,0.989,1.4e+03,0:34
45.0%,225000,450.0,-40884.681,7576.739,-33307.942,297.073,30.93,0.989,1.4e+03,0:33
46.0%,230000,460.0,-40564.732,7740.63,-32824.102,303.499,31.143,0.982,1.4e+03,0:33
47.0%,235000,470.0,-40734.293,7785.193,-32949.1,305.246,31.287,0.977,1.4e+03,0:32
48.0%,240000,480.0,-40705.9,7662.357,-33043.542,300.43,31.457,0.972,1.41e+03,0:31
49.0%,245000,490.0,-40898.051,7630.493,-33267.558,299.181,31.219,0.979,1.41e+03,0:31
50.0%,250000,500.0,-40321.822,7613.738,-32708.083,298.524,31.211,0.98,1.41e+03,0:30
51.0%,255000,510.0,-40853.88,7780.465,-33073.414,305.061,31.163,0.981,1.41e+03,0:30
52.0%,260000,520.0,-40769.391,7641.144,-33128.246,299.599,31.217,0.979,1.41e+03,0:29
53.0%,265000,530.0,-40704.287,7772.07,-32932.217,304.732,31.07,0.984,1.41e+03,0:28
54.0%,270000,540.0,-40775.007,7601.606,-33173.401,298.048,31.545,0.969,1.41e+03,0:28
55.0%,275000,550.0,-40518.683,7751.201,-32767.482,303.914,31.13,0.982,1.41e+03,0:27
56.0%,280000,560.0,-40769.947,7678.048,-33091.9,301.045,31.117,0.983,1.41e+03,0:27
57.0%,285000,570.0,-40887.707,7744.238,-33143.47,303.641,30.528,1.002,1.41e+03,0:26
58.0%,290000,580.0,-40963.932,7631.944,-33331.987,299.238,30.535,1.001,1.41e+03,0:25
59.0%,295000,590.0,-40815.96,7433.932,-33382.028,291.474,30.948,0.988,1.41e+03,0:25
60.0%,300000,600.0,-41226.165,7667.708,-33558.458,300.64,30.936,0.988,1.41e+03,0:24
61.0%,305000,610.0,-40840.109,7936.129,-32903.98,311.164,31.297,0.977,1.41e+03,0:23
62.0%,310000,620.0,-40734.47,7617.441,-33117.029,298.669,30.96,0.988,1.41e+03,0:23
63.0%,315000,630.0,-40806.743,7559.109,-33247.633,296.382,31.066,0.984,1.41e+03,0:22
64.0%,320000,640.0,-40084.522,7639.225,-32445.297,299.523,31.411,0.973,1.41e+03,0:22
65.0%,325000,650.0,-40865.767,7787.411,-33078.357,305.333,31.322,0.976,1.41e+03,0:21
66.0%,330000,660.0,-40848.922,7469.162,-33379.759,292.855,30.992,0.987,1.41e+03,0:20
67.0%,335000,670.0,-40387.222,7522.821,-32864.401,294.959,31.016,0.986,1.41e+03,0:20
68.0%,340000,680.0,-40514.183,7828.114,-32686.069,306.929,31.174,0.981,1.41e+03,0:19
69.0%,345000,690.0,-40673.201,7715.83,-32957.371,302.527,31.364,0.975,1.41e+03,0:19
70.0%,350000,700.0,-41123.638,7649.808,-33473.83,299.938,30.528,1.002,1.41e+03,0:18
